StateCode,State,Population
1,Alabama,"4,903,185"
2,Alaska,"731,545"
3,Arizona,"7,278,717"
4,Arkansas,"3,017,804"
5,California,"39,512,223"
6,Colorado,"5,758,736"
7,Connecticut,"3,565,287"
8,Delaware,"973,764"
9,District of Columbia,"705,749"
10,Florida,"21,477,737"
11,Georgia,"10,617,423"
12,Hawaii,"1,415,872"
13,Idaho,"1,787,065"
14,Illinois,"12,671,821"
15,Indiana,"6,732,219"
16,Iowa,"3,155,070"
17,Kansas,"2,913,314"
18,Kentucky,"4,467,673"
19,Louisiana,"4,648,794"
20,Maine,"1,344,212"
21,Maryland,"6,045,680"
22,Massachusetts,"6,892,503"
23,Michigan,"9,986,857"
24,Minnesota,"5,639,632"
25,Mississippi,"2,976,149"
26,Missouri,"6,137,428"
27,Montana,"1,068,778"
28,Nebraska,"1,934,408"
29,Nevada,"3,080,156"
30,New Hampshire,"1,359,711"
31,New Jersey,"8,882,190"
32,New Mexico,"2,096,829"
33,New York,"19,453,561"
34,North Carolina,"10,488,084"
35,North Dakota,"762,062"
36,Ohio,"11,689,100"
37,Oklahoma,"3,956,971"
38,Oregon,"4,217,737"
39,Pennsylvania,"12,801,989"
40,Puerto Rico,"3,193,694"
41,Rhode Island,"1,059,361"
42,South Carolina,"5,148,714"
43,South Dakota,"884,659"
44,Tennessee,"6,829,174"
45,Texas,"28,995,881"
46,Utah,"3,205,958"
47,Vermont,"623,989"
48,Virgin Islands,"106,631"
49,Virginia,"8,535,519"
50,Washington,"7,614,893"
51,West Virginia,"1,792,147"
52,Wisconsin,"5,822,434"
53,Wyoming,"578,759"
54,Alaska,"731,545"
